,Buurten,level_of_income,Year,value
76,Blauwe Kei, Low income,2010,"30,0"
77,Ypelaar, Low income,2010,"42,0"
78,Overakker, Low income,2010,"37,0"
79,Ginneken, Low income,2010,"27,0"
80,Mastbos, Low income,2010,?
81,Boeimeer, Low income,2010,"32,0"
82,Ruitersbos, Low income,2010,"36,0"
83,Haagpoort, Low income,2010,"50,0"
84,Heuvel, Low income,2010,"60,0"
85,Tuinzigt, Low income,2010,"55,0"
86,Princenhage, Low income,2010,"36,0"
87,Westerpark, Low income,2010,"29,0"
88,Heilaar, Low income,2010,"14,0"
89,Hazeldonk, Low income,2010,?
90,Steenakker, Low income,2010,"20,0"
91,Effen-Rith, Low income,2010,"21,0"
92,Liesbos, Low income,2010,"9,0"
93,Gageldonk, Low income,2010,"33,0"
94,Kievitsloop, Low income,2010,"27,0"
95,Kesteren, Low income,2010,"39,0"
96,Muizenberg, Low income,2010,"35,0"
97,Heksenwiel, Low income,2010,"33,0"
98,Overkroeten, Low income,2010,"28,0"
99,Kroeten, Low income,2010,"28,0"
100,Emer, Low income,2010,?
101,Hagebeemd, Low income,2010,"31,0"
102,Bavel, Low income,2010,"28,0"
103,Nieuw Wolfslaar, Low income,2010,"19,0"
104,Buitengebied Bavel, Low income,2010,"3,0"
105,Ulvenhout, Low income,2010,"24,0"
106,Buitengebied Ulvenhout, Low income,2010,"10,0"
107,Prinsenbeek, Low income,2010,"27,0"
108,Buitengebied Prinsenbeek, Low income,2010,"25,0"
109,Teteringen, Low income,2010,?
110,Vuchtpolder, Low income,2010,?
111,Buitengebied Teteringen, Low income,2010,?
112,Valkenberg, Low income,2011,"53,0"
113,Chassé, Low income,2011,"44,0"
114,Fellenoord, Low income,2011,"66,0"
115,Schorsmolen, Low income,2011,"66,0"
116,Station, Low income,2011,"58,0"
117,City, Low income,2011,"52,0"
118,Belcrum, Low income,2011,?
119,Doornbos-Linie, Low income,2011,"61,0"
120,Biesdonk, Low income,2011,"54,0"
121,Geeren-zuid, Low income,2011,?
122,Wisselaar, Low income,2011,"49,0"
123,Krogten, Low income,2011,?
124,Geeren-noord, Low income,2011,"62,0"
125,Waterdonken, Low income,2011,"12,0"
126,Brabantpark, Low income,2011,"49,0"
127,Sportpark, Low income,2011,"28,0"
128,Zandberg, Low income,2011,"34,0"
129,Heusdenhout, Low income,2011,"41,0"
130,Moleneind-oost, Low income,2011,"41,0"
131,Hoogeind, Low income,2011,"41,0"
132,Blauwe Kei, Low income,2011,"33,0"
133,Ypelaar, Low income,2011,"41,0"
134,Overakker, Low income,2011,"34,0"
135,Ginneken, Low income,2011,"28,0"
136,Mastbos, Low income,2011,?
137,Boeimeer, Low income,2011,"33,0"
138,Ruitersbos, Low income,2011,"33,0"
139,Haagpoort, Low income,2011,"53,0"
140,Heuvel, Low income,2011,"59,0"
141,Tuinzigt, Low income,2011,"55,0"
142,Princenhage, Low income,2011,"36,0"
143,Westerpark, Low income,2011,"28,0"
144,Heilaar, Low income,2011,"16,0"
145,Hazeldonk, Low income,2011,?
146,Steenakker, Low income,2011,?
147,Effen-Rith, Low income,2011,"22,0"
148,Liesbos, Low income,2011,"19,0"
149,Gageldonk, Low income,2011,"32,0"
150,Kievitsloop, Low income,2011,"29,0"
151,Kesteren, Low income,2011,"43,0"
152,Muizenberg, Low income,2011,"34,0"
153,Heksenwiel, Low income,2011,"33,0"
154,Overkroeten, Low income,2011,"29,0"
155,Kroeten, Low income,2011,"25,0"
156,Emer, Low income,2011,?
157,Hagebeemd, Low income,2011,"21,0"
158,Bavel, Low income,2011,"28,0"
159,Nieuw Wolfslaar, Low income,2011,"17,0"
160,Buitengebied Bavel, Low income,2011,"15,0"
161,Ulvenhout, Low income,2011,?
162,Buitengebied Ulvenhout, Low income,2011,?
163,Prinsenbeek, Low income,2011,"27,0"
164,Buitengebied Prinsenbeek, Low income,2011,"19,0"
165,Teteringen, Low income,2011,?
166,Vuchtpolder, Low income,2011,?
167,Buitengebied Teteringen, Low income,2011,?
168,Valkenberg, Low income,2012,"55,0"
169,Chassé, Low income,2012,"44,0"
170,Fellenoord, Low income,2012,"68,0"
171,Schorsmolen, Low income,2012,"66,0"
172,Station, Low income,2012,"53,0"
173,City, Low income,2012,"52,0"
174,Belcrum, Low income,2012,?
175,Doornbos-Linie, Low income,2012,"59,0"
176,Biesdonk, Low income,2012,"53,0"
177,Geeren-zuid, Low income,2012,"65,0"
178,Wisselaar, Low income,2012,"49,0"
179,Krogten, Low income,2012,?
180,Geeren-noord, Low income,2012,"62,0"
181,Waterdonken, Low income,2012,"31,0"
182,Brabantpark, Low income,2012,"48,0"
183,Sportpark, Low income,2012,"29,0"
184,Zandberg, Low income,2012,"33,0"
185,Heusdenhout, Low income,2012,"43,0"
186,Moleneind-oost, Low income,2012,?
187,Hoogeind, Low income,2012,?
188,Blauwe Kei, Low income,2012,"32,0"
189,Ypelaar, Low income,2012,"41,0"
190,Overakker, Low income,2012,"36,0"
191,Ginneken, Low income,2012,"29,0"
192,Mastbos, Low income,2012,"19,0"
193,Boeimeer, Low income,2012,"33,0"
194,Ruitersbos, Low income,2012,"33,0"
195,Haagpoort, Low income,2012,"52,0"
196,Heuvel, Low income,2012,"59,0"
197,Tuinzigt, Low income,2012,"56,0"
198,Princenhage, Low income,2012,"37,0"
199,Westerpark, Low income,2012,"27,0"
200,Heilaar, Low income,2012,"23,0"
201,Hazeldonk, Low income,2012,?
202,Steenakker, Low income,2012,?
203,Effen-Rith, Low income,2012,"22,0"
204,Liesbos, Low income,2012,"24,0"
205,Gageldonk, Low income,2012,"33,0"
206,Kievitsloop, Low income,2012,"28,0"
207,Kesteren, Low income,2012,"44,0"
208,Muizenberg, Low income,2012,"34,0"
209,Heksenwiel, Low income,2012,"33,0"
210,Overkroeten, Low income,2012,"30,0"
211,Kroeten, Low income,2012,"23,0"
212,Emer, Low income,2012,?
213,Hagebeemd, Low income,2012,?
214,Bavel, Low income,2012,"28,0"
215,Nieuw Wolfslaar, Low income,2012,"17,0"
216,Buitengebied Bavel, Low income,2012,"15,0"
217,Ulvenhout, Low income,2012,"29,0"
218,Buitengebied Ulvenhout, Low income,2012,?
219,Prinsenbeek, Low income,2012,"26,0"
220,Buitengebied Prinsenbeek, Low income,2012,"20,0"
221,Teteringen, Low income,2012,"27,0"
222,Vuchtpolder, Low income,2012,?
223,Buitengebied Teteringen, Low income,2012,?
224,Valkenberg, Low income,2013,"53,0"
225,Chassé, Low income,2013,"44,0"
226,Fellenoord, Low income,2013,"66,0"
227,Schorsmolen, Low income,2013,"66,0"
228,Station, Low income,2013,"52,0"
229,City, Low income,2013,"53,0"
230,Belcrum, Low income,2013,?
231,Doornbos-Linie, Low income,2013,"59,0"
232,Biesdonk, Low income,2013,"54,0"
233,Geeren-zuid, Low income,2013,"65,0"
234,Wisselaar, Low income,2013,"51,0"
235,Krogten, Low income,2013,?
236,Geeren-noord, Low income,2013,"62,0"
237,Waterdonken, Low income,2013,"26,0"
238,Brabantpark, Low income,2013,"49,0"
239,Sportpark, Low income,2013,"26,0"
240,Zandberg, Low income,2013,"31,0"
241,Heusdenhout, Low income,2013,"42,0"
242,Moleneind-oost, Low income,2013,?
243,Hoogeind, Low income,2013,?
244,Blauwe Kei, Low income,2013,"32,0"
245,Ypelaar, Low income,2013,"41,0"
246,Overakker, Low income,2013,"36,0"
247,Ginneken, Low income,2013,"29,0"
248,Mastbos, Low income,2013,"33,0"
249,Boeimeer, Low income,2013,"33,0"
250,Ruitersbos, Low income,2013,"32,0"
251,Haagpoort, Low income,2013,"53,0"
252,Heuvel, Low income,2013,"58,0"
253,Tuinzigt, Low income,2013,"57,0"
254,Princenhage, Low income,2013,"36,0"
255,Westerpark, Low income,2013,"29,0"
256,Heilaar, Low income,2013,"26,0"
257,Hazeldonk, Low income,2013,?
258,Steenakker, Low income,2013,?
259,Effen-Rith, Low income,2013,"20,0"
260,Liesbos, Low income,2013,"21,0"
261,Gageldonk, Low income,2013,"33,0"
262,Kievitsloop, Low income,2013,"29,0"
263,Kesteren, Low income,2013,"44,0"
264,Muizenberg, Low income,2013,"36,0"
265,Heksenwiel, Low income,2013,"33,0"
266,Overkroeten, Low income,2013,"29,0"
267,Kroeten, Low income,2013,"23,0"
268,Emer, Low income,2013,?
269,Hagebeemd, Low income,2013,?
270,Bavel, Low income,2013,"28,0"
271,Nieuw Wolfslaar, Low income,2013,"17,0"
272,Buitengebied Bavel, Low income,2013,"14,0"
273,Ulvenhout, Low income,2013,"27,0"
274,Buitengebied Ulvenhout, Low income,2013,?
275,Prinsenbeek, Low income,2013,"26,0"
276,Buitengebied Prinsenbeek, Low income,2013,"18,0"
277,Teteringen, Low income,2013,"25,0"
278,Vuchtpolder, Low income,2013,?
279,Buitengebied Teteringen, Low income,2013,?
280,Valkenberg, Low income,2014,
281,Chassé, Low income,2014,
282,Fellenoord, Low income,2014,
283,Schorsmolen, Low income,2014,
284,Station, Low income,2014,
285,City, Low income,2014,
286,Belcrum, Low income,2014,
287,Doornbos-Linie, Low income,2014,
288,Biesdonk, Low income,2014,
289,Geeren-zuid, Low income,2014,
290,Wisselaar, Low income,2014,
291,Krogten, Low income,2014,
292,Geeren-noord, Low income,2014,
293,Waterdonken, Low income,2014,
294,Brabantpark, Low income,2014,
295,Sportpark, Low income,2014,
296,Zandberg, Low income,2014,
297,Heusdenhout, Low income,2014,
298,Moleneind-oost, Low income,2014,
299,Hoogeind, Low income,2014,
300,Blauwe Kei, Low income,2014,
301,Ypelaar, Low income,2014,
302,Overakker, Low income,2014,
303,Ginneken, Low income,2014,
304,Mastbos, Low income,2014,
305,Boeimeer, Low income,2014,
306,Ruitersbos, Low income,2014,
307,Haagpoort, Low income,2014,
308,Heuvel, Low income,2014,
309,Tuinzigt, Low income,2014,
310,Princenhage, Low income,2014,
311,Westerpark, Low income,2014,
312,Heilaar, Low income,2014,
313,Hazeldonk, Low income,2014,
314,Steenakker, Low income,2014,
315,Effen-Rith, Low income,2014,
316,Liesbos, Low income,2014,
317,Gageldonk, Low income,2014,
318,Kievitsloop, Low income,2014,
319,Kesteren, Low income,2014,
320,Muizenberg, Low income,2014,
321,Heksenwiel, Low income,2014,
322,Overkroeten, Low income,2014,
323,Kroeten, Low income,2014,
324,Emer, Low income,2014,
325,Hagebeemd, Low income,2014,
326,Bavel, Low income,2014,
327,Nieuw Wolfslaar, Low income,2014,
328,Buitengebied Bavel, Low income,2014,
329,Ulvenhout, Low income,2014,
330,Buitengebied Ulvenhout, Low income,2014,
331,Prinsenbeek, Low income,2014,
332,Buitengebied Prinsenbeek, Low income,2014,
333,Teteringen, Low income,2014,
334,Vuchtpolder, Low income,2014,
335,Buitengebied Teteringen, Low income,2014,
336,Valkenberg, Low income,2015,"66,0"
337,Chassé, Low income,2015,"47,0"
338,Fellenoord, Low income,2015,"67,0"
339,Schorsmolen, Low income,2015,"69,0"
340,Station, Low income,2015,"59,0"
341,City, Low income,2015,"65,0"
342,Belcrum, Low income,2015,"44,0"
343,Doornbos-Linie, Low income,2015,"59,0"
344,Biesdonk, Low income,2015,"53,0"
345,Geeren-zuid, Low income,2015,"62,0"
346,Wisselaar, Low income,2015,"49,0"
347,Krogten, Low income,2015,"42,0"
348,Geeren-noord, Low income,2015,"63,0"
349,Waterdonken, Low income,2015,"24,0"
350,Brabantpark, Low income,2015,"55,0"
351,Sportpark, Low income,2015,"31,0"
352,Zandberg, Low income,2015,"40,0"
353,Heusdenhout, Low income,2015,"42,0"
354,Moleneind-oost, Low income,2015,?
355,Hoogeind, Low income,2015,?
356,Blauwe Kei, Low income,2015,"31,0"
357,Ypelaar, Low income,2015,"41,0"
358,Overakker, Low income,2015,"35,0"
359,Ginneken, Low income,2015,"28,0"
360,Mastbos, Low income,2015,"15,0"
361,Boeimeer, Low income,2015,"35,0"
362,Ruitersbos, Low income,2015,"37,0"
363,Haagpoort, Low income,2015,"54,0"
364,Heuvel, Low income,2015,"59,0"
365,Tuinzigt, Low income,2015,"63,0"
366,Princenhage, Low income,2015,"38,0"
367,Westerpark, Low income,2015,"26,0"
368,Heilaar, Low income,2015,"22,0"
369,Hazeldonk, Low income,2015,?
370,Steenakker, Low income,2015,"26,0"
371,Effen-Rith, Low income,2015,"19,0"
372,Liesbos, Low income,2015,"19,0"
373,Gageldonk, Low income,2015,"34,0"
374,Kievitsloop, Low income,2015,"26,0"
375,Kesteren, Low income,2015,"42,0"
376,Muizenberg, Low income,2015,"33,0"
377,Heksenwiel, Low income,2015,"31,0"
378,Overkroeten, Low income,2015,"29,0"
379,Kroeten, Low income,2015,"23,0"
380,Emer, Low income,2015,?
381,Hagebeemd, Low income,2015,?
382,Bavel, Low income,2015,"26,0"
383,Nieuw Wolfslaar, Low income,2015,"18,0"
384,Buitengebied Bavel, Low income,2015,"18,0"
385,Ulvenhout, Low income,2015,"25,0"
386,Buitengebied Ulvenhout, Low income,2015,?
387,Prinsenbeek, Low income,2015,"23,0"
388,Buitengebied Prinsenbeek, Low income,2015,"18,0"
389,Teteringen, Low income,2015,"24,0"
390,Vuchtpolder, Low income,2015,?
391,Buitengebied Teteringen, Low income,2015,?
392,Valkenberg, Low income,2016,"64,0"
393,Chassé, Low income,2016,"48,0"
394,Fellenoord, Low income,2016,"69,0"
395,Schorsmolen, Low income,2016,"70,0"
396,Station, Low income,2016,"60,0"
397,City, Low income,2016,"64,0"
398,Belcrum, Low income,2016,"41,0"
399,Doornbos-Linie, Low income,2016,"60,0"
400,Biesdonk, Low income,2016,"54,0"
401,Geeren-zuid, Low income,2016,"66,0"
402,Wisselaar, Low income,2016,"53,0"
403,Krogten, Low income,2016,"46,0"
404,Geeren-noord, Low income,2016,"64,0"
405,Waterdonken, Low income,2016,"22,0"
406,Brabantpark, Low income,2016,"54,0"
407,Sportpark, Low income,2016,"28,0"
408,Zandberg, Low income,2016,"36,0"
409,Heusdenhout, Low income,2016,"45,0"
410,Moleneind-oost, Low income,2016,?
411,Hoogeind, Low income,2016,?
412,Blauwe Kei, Low income,2016,"29,0"
413,Ypelaar, Low income,2016,"42,0"
414,Overakker, Low income,2016,"34,0"
415,Ginneken, Low income,2016,"26,0"
416,Mastbos, Low income,2016,"15,0"
417,Boeimeer, Low income,2016,"32,0"
418,Ruitersbos, Low income,2016,"37,0"
419,Haagpoort, Low income,2016,"55,0"
420,Heuvel, Low income,2016,"57,0"
421,Tuinzigt, Low income,2016,"61,0"
422,Princenhage, Low income,2016,"38,0"
423,Westerpark, Low income,2016,"27,0"
424,Heilaar, Low income,2016,"19,0"
425,Hazeldonk, Low income,2016,?
426,Steenakker, Low income,2016,?
427,Effen-Rith, Low income,2016,"16,0"
428,Liesbos, Low income,2016,"16,0"
429,Gageldonk, Low income,2016,"34,0"
430,Kievitsloop, Low income,2016,"26,0"
431,Kesteren, Low income,2016,"43,0"
432,Muizenberg, Low income,2016,"33,0"
433,Heksenwiel, Low income,2016,"35,0"
434,Overkroeten, Low income,2016,"30,0"
435,Kroeten, Low income,2016,"19,0"
436,Emer, Low income,2016,?
437,Hagebeemd, Low income,2016,?
438,Bavel, Low income,2016,"26,0"
439,Nieuw Wolfslaar, Low income,2016,"18,0"
440,Buitengebied Bavel, Low income,2016,"13,0"
441,Ulvenhout, Low income,2016,"25,0"
442,Buitengebied Ulvenhout, Low income,2016,?
443,Prinsenbeek, Low income,2016,"23,0"
444,Buitengebied Prinsenbeek, Low income,2016,"15,0"
445,Teteringen, Low income,2016,"23,0"
446,Vuchtpolder, Low income,2016,?
447,Buitengebied Teteringen, Low income,2016,?
448,Valkenberg, Low income,2017,"64,0"
449,Chassé, Low income,2017,"48,0"
450,Fellenoord, Low income,2017,"70,0"
451,Schorsmolen, Low income,2017,"71,0"
452,Station, Low income,2017,"55,0"
453,City, Low income,2017,"65,0"
454,Belcrum, Low income,2017,"36,0"
455,Doornbos-Linie, Low income,2017,"57,0"
456,Biesdonk, Low income,2017,"55,0"
457,Geeren-zuid, Low income,2017,"64,0"
458,Wisselaar, Low income,2017,"53,0"
459,Krogten, Low income,2017,"43,0"
460,Geeren-noord, Low income,2017,"63,0"
461,Waterdonken, Low income,2017,"20,0"
462,Brabantpark, Low income,2017,"54,0"
463,Sportpark, Low income,2017,"30,0"
464,Zandberg, Low income,2017,"35,0"
465,Heusdenhout, Low income,2017,"45,0"
466,Moleneind-oost, Low income,2017,?
467,Hoogeind, Low income,2017,?
468,Blauwe Kei, Low income,2017,"29,0"
469,Ypelaar, Low income,2017,"42,0"
470,Overakker, Low income,2017,"34,0"
471,Ginneken, Low income,2017,"25,0"
472,Mastbos, Low income,2017,"35,0"
473,Boeimeer, Low income,2017,"33,0"
474,Ruitersbos, Low income,2017,"35,0"
475,Haagpoort, Low income,2017,"56,0"
476,Heuvel, Low income,2017,"57,0"
477,Tuinzigt, Low income,2017,"63,0"
478,Princenhage, Low income,2017,"37,0"
479,Westerpark, Low income,2017,"29,0"
480,Heilaar, Low income,2017,"18,0"
481,Hazeldonk, Low income,2017,?
482,Steenakker, Low income,2017,?
483,Effen-Rith, Low income,2017,"15,0"
484,Liesbos, Low income,2017,"15,0"
485,Gageldonk, Low income,2017,"33,0"
486,Kievitsloop, Low income,2017,"25,0"
487,Kesteren, Low income,2017,"41,0"
488,Muizenberg, Low income,2017,"33,0"
489,Heksenwiel, Low income,2017,"35,0"
490,Overkroeten, Low income,2017,"31,0"
491,Kroeten, Low income,2017,"20,0"
492,Emer, Low income,2017,?
493,Hagebeemd, Low income,2017,?
494,Bavel, Low income,2017,"26,0"
495,Nieuw Wolfslaar, Low income,2017,"17,0"
496,Buitengebied Bavel, Low income,2017,"12,0"
497,Ulvenhout, Low income,2017,"25,0"
498,Buitengebied Ulvenhout, Low income,2017,"24,0"
499,Prinsenbeek, Low income,2017,"23,0"
500,Buitengebied Prinsenbeek, Low income,2017,"16,0"
501,Teteringen, Low income,2017,"23,0"
502,Vuchtpolder, Low income,2017,?
503,Buitengebied Teteringen, Low income,2017,?
504,Valkenberg, Low income,2018,"64,0"
505,Chassé, Low income,2018,"48,0"
506,Fellenoord, Low income,2018,"71,0"
507,Schorsmolen, Low income,2018,"72,0"
508,Station, Low income,2018,"55,0"
509,City, Low income,2018,"64,0"
510,Belcrum, Low income,2018,"37,0"
511,Doornbos-Linie, Low income,2018,"59,0"
512,Biesdonk, Low income,2018,"55,0"
513,Geeren-zuid, Low income,2018,"65,0"
514,Wisselaar, Low income,2018,"52,0"
515,Krogten, Low income,2018,?
516,Geeren-noord, Low income,2018,"63,0"
517,Waterdonken, Low income,2018,"19,0"
518,Brabantpark, Low income,2018,"54,0"
519,Sportpark, Low income,2018,"29,0"
520,Zandberg, Low income,2018,"35,0"
521,Heusdenhout, Low income,2018,"46,0"
522,Moleneind-oost, Low income,2018,?
523,Hoogeind, Low income,2018,?
524,Blauwe Kei, Low income,2018,"28,0"
525,Ypelaar, Low income,2018,"43,0"
526,Overakker, Low income,2018,"34,0"
527,Ginneken, Low income,2018,"25,0"
528,Mastbos, Low income,2018,"33,0"
529,Boeimeer, Low income,2018,"33,0"
530,Ruitersbos, Low income,2018,"36,0"
531,Haagpoort, Low income,2018,"56,0"
532,Heuvel, Low income,2018,"57,0"
533,Tuinzigt, Low income,2018,"64,0"
534,Princenhage, Low income,2018,"36,0"
535,Westerpark, Low income,2018,"30,0"
536,Heilaar, Low income,2018,"22,0"
537,Hazeldonk, Low income,2018,?
538,Steenakker, Low income,2018,"76,0"
539,Effen-Rith, Low income,2018,"16,0"
540,Liesbos, Low income,2018,"16,0"
541,Gageldonk, Low income,2018,"33,0"
542,Kievitsloop, Low income,2018,"27,0"
543,Kesteren, Low income,2018,"43,0"
544,Muizenberg, Low income,2018,"33,0"
545,Heksenwiel, Low income,2018,"35,0"
546,Overkroeten, Low income,2018,"30,0"
547,Kroeten, Low income,2018,"19,0"
548,Emer, Low income,2018,?
549,Hagebeemd, Low income,2018,?
550,Bavel, Low income,2018,"26,0"
551,Nieuw Wolfslaar, Low income,2018,"18,0"
552,Buitengebied Bavel, Low income,2018,"10,0"
553,Ulvenhout, Low income,2018,"26,0"
554,Buitengebied Ulvenhout, Low income,2018,"23,0"
555,Prinsenbeek, Low income,2018,"23,0"
556,Buitengebied Prinsenbeek, Low income,2018,"16,0"
557,Teteringen, Low income,2018,"23,0"
558,Vuchtpolder, Low income,2018,?
559,Buitengebied Teteringen, Low income,2018,?
560,Valkenberg, Low income,2019,"61,0"
561,Chassé, Low income,2019,"46,0"
562,Fellenoord, Low income,2019,"71,0"
563,Schorsmolen, Low income,2019,"70,0"
564,Station, Low income,2019,"57,0"
565,City, Low income,2019,"63,0"
566,Belcrum, Low income,2019,"38,0"
567,Doornbos-Linie, Low income,2019,"59,0"
568,Biesdonk, Low income,2019,"54,0"
569,Geeren-zuid, Low income,2019,"65,0"
570,Wisselaar, Low income,2019,"52,0"
571,Krogten, Low income,2019,?
572,Geeren-noord, Low income,2019,"62,0"
573,Waterdonken, Low income,2019,"18,0"
574,Brabantpark, Low income,2019,"54,0"
575,Sportpark, Low income,2019,"27,0"
576,Zandberg, Low income,2019,"36,0"
577,Heusdenhout, Low income,2019,"46,0"
578,Moleneind-oost, Low income,2019,?
579,Hoogeind, Low income,2019,?
580,Blauwe Kei, Low income,2019,"30,0"
581,Ypelaar, Low income,2019,"42,0"
582,Overakker, Low income,2019,"35,0"
583,Ginneken, Low income,2019,"26,0"
584,Mastbos, Low income,2019,"31,0"
585,Boeimeer, Low income,2019,"32,0"
586,Ruitersbos, Low income,2019,"35,0"
587,Haagpoort, Low income,2019,"57,0"
588,Heuvel, Low income,2019,"56,0"
589,Tuinzigt, Low income,2019,"64,0"
590,Princenhage, Low income,2019,"36,0"
591,Westerpark, Low income,2019,"28,0"
592,Heilaar, Low income,2019,"20,0"
593,Hazeldonk, Low income,2019,?
594,Steenakker, Low income,2019,"73,0"
595,Effen-Rith, Low income,2019,"16,0"
596,Liesbos, Low income,2019,"18,0"
597,Gageldonk, Low income,2019,"34,0"
598,Kievitsloop, Low income,2019,"26,0"
599,Kesteren, Low income,2019,"42,0"
600,Muizenberg, Low income,2019,"32,0"
601,Heksenwiel, Low income,2019,"34,0"
602,Overkroeten, Low income,2019,"30,0"
603,Kroeten, Low income,2019,"22,0"
604,Emer, Low income,2019,?
605,Hagebeemd, Low income,2019,?
606,Bavel, Low income,2019,"26,0"
607,Nieuw Wolfslaar, Low income,2019,"16,0"
608,Buitengebied Bavel, Low income,2019,"11,0"
609,Ulvenhout, Low income,2019,"25,0"
610,Buitengebied Ulvenhout, Low income,2019,"29,0"
611,Prinsenbeek, Low income,2019,"23,0"
612,Buitengebied Prinsenbeek, Low income,2019,"17,0"
613,Teteringen, Low income,2019,"23,0"
614,Vuchtpolder, Low income,2019,?
615,Buitengebied Teteringen, Low income,2019,?
616,Valkenberg, Low income,2020,"63,0"
617,Chassé, Low income,2020,"46,0"
618,Fellenoord, Low income,2020,"71,0"
619,Schorsmolen, Low income,2020,"69,0"
620,Station, Low income,2020,"55,0"
621,City, Low income,2020,"63,0"
622,Belcrum, Low income,2020,"36,0"
623,Doornbos-Linie, Low income,2020,"57,0"
624,Biesdonk, Low income,2020,"55,0"
625,Geeren-zuid, Low income,2020,"66,0"
626,Wisselaar, Low income,2020,"51,0"
627,Krogten, Low income,2020,"44,0"
628,Geeren-noord, Low income,2020,"63,0"
629,Waterdonken, Low income,2020,"20,0"
630,Brabantpark, Low income,2020,"55,0"
631,Sportpark, Low income,2020,"27,0"
632,Zandberg, Low income,2020,"34,0"
633,Heusdenhout, Low income,2020,"47,0"
634,Moleneind-oost, Low income,2020,?
635,Hoogeind, Low income,2020,?
636,Blauwe Kei, Low income,2020,"29,0"
637,Ypelaar, Low income,2020,"43,0"
638,Overakker, Low income,2020,"35,0"
639,Ginneken, Low income,2020,"25,0"
640,Mastbos, Low income,2020,"29,0"
641,Boeimeer, Low income,2020,"33,0"
642,Ruitersbos, Low income,2020,"36,0"
643,Haagpoort, Low income,2020,"57,0"
644,Heuvel, Low income,2020,"54,0"
645,Tuinzigt, Low income,2020,"63,0"
646,Princenhage, Low income,2020,"37,0"
647,Westerpark, Low income,2020,"27,0"
648,Heilaar, Low income,2020,"21,0"
649,Hazeldonk, Low income,2020,?
650,Steenakker, Low income,2020,"74,0"
651,Effen-Rith, Low income,2020,"15,0"
652,Liesbos, Low income,2020,"16,0"
653,Gageldonk, Low income,2020,"33,0"
654,Kievitsloop, Low income,2020,"26,0"
