,Unnamed: 0.1,Unnamed: 0,date,hosts,id,length,start,end,title,summary,keywords,date_time_start,date_time_end,content_id,fragment
10,10,10,2021-01-03,"['Hilbrand, Sophie', 'Logtenberg, Hugo']",OP1__________-WON02205329_02_segment,00:16:53,22:43:49,23:00:42,ChristenUnie party leader Gert-Jan Segers about his 'Plan for society',"Monday evening at Op1 in the series of conversations with party leaders: Gert-Jan Segers of the ChristenUnie, about the calculation of the election programs by the CPB and his 'Plan for society': how does Segers want to restore confidence in the government after ten years of Rutte?","['to recover', 'to trust', 'election program']",2021-01-03 22:43:49,2021-01-03 23:00:42,WON02205329,2
11,11,11,2021-01-03,"['Hilbrand, Sophie', 'Logtenberg, Hugo']",OP1__________-WON02205329_03_segment,00:11:44,23:01:02,23:12:46,Figure skating talent Lindsay van Zundert and Joan Haanappel about their Olympic dream,"Figure skating talent Lindsay van Zundert (16) can bring the Netherlands to the Olympic Games for the first time since 1976. Last week she participated in the Challenge Cup in The Hague and collected enough points to participate in the World Cup. There she can qualify for the Games in 2022. Former figure skater Joan Haanappel is her great example and mental coach and is therefore very proud of her. Monday evening at Op1, Lindsay van Zundert and Joan Haanappel talk about their Olympic dream.","['two thousand and twenty-two', 'joan', 'figure skating talent']",2021-01-03 23:01:02,2021-01-03 23:12:46,WON02205329,3
12,12,12,2021-01-03,"['Hilbrand, Sophie', 'Logtenberg, Hugo']",OP1__________-WON02205329_04_segment,00:13:48,23:12:46,23:26:31,Jojanneke van den Berge and Mia about young girls in prostitution,"Presenter Jojanneke van den Berge returns to the world of prostitutes and porn for a new documentary series of the EO. In 'Jojanneke uit de prostitution' she follows Mia, who ended up in the porn world at the age of eighteen. Partly thanks to the program, Mia manages to escape from this violent world. On Monday evening at Op1, Jojanneke and Mia talk about the tough struggle girls have to fight to leave the world of prostitution.","['heavy', 'eighteenth', 'documentary series']",2021-01-03 23:12:46,2021-01-03 23:26:31,WON02205329,4
13,13,13,2022-01-03,"['Brink, Tijs van den', 'Ostiana, Giovanca']",OP1__________-WON02297320_01_segment,00:20:04,22:47:11,23:07:15,Tom Middendorp about the military convoy to Kiev,"A 40-mile long military convoy is on its way from Russia to Kiev. Despite the bombings, the Russian troops are encountering heavy resistance from the Ukrainian people. Former Commander of the Armed Forces Tom Middendorp sees weaknesses in the approach of the Russians and explains this at Op1.","['sixty-four', 'middle village', 'bombings']",2022-01-03 22:47:11,2022-01-03 23:07:15,WON02297320,1
14,14,14,2022-01-03,"['Brink, Tijs van den', 'Ostiana, Giovanca']",OP1__________-WON02297320_02_segment,00:11:25,23:07:16,23:18:41,Raymond Mens on Biden's first State of the Union,"On day six of the war in Ukraine, US President Joe Biden must prove himself as the leader of the free world. Today is Biden's first State of the Union, where the war is likely to receive a lot of attention. Has the US president learned from his predecessors? We discuss it at Op1 with American connoisseur Raymond Mens.","['predecessors', 'raymond', 'Ukraine']",2022-01-03 23:07:16,2022-01-03 23:18:41,WON02297320,2
15,15,15,2022-01-03,"['Brink, Tijs van den', 'Ostiana, Giovanca']",OP1__________-WON02297320_03_segment,00:12:57,23:19:13,23:32:10,"Anne Kuik, Marijke Smelt and Arjan Lock about the fleeing Ukrainians","As war violence intensifies, more and more Ukrainians are trying to cross the border in search of a safe haven. CDA MP Anne Kuik tells Op1 what is needed to arrange the shelter. Marijke Smelt is already working on this, she is coordinating a major campaign to collect refugees and accommodate them in more than a hundred families in the Netherlands, including her own. EO director Arjan Lock stands on the border of Moldova and Ukraine and talks about the flight to the west.","['hundred', 'action', 'Ukraine']",2022-01-03 23:19:13,2022-01-03 23:32:10,WON02297320,3
16,16,16,2020-01-04,"['Napel, Carrie ten', 'Groenhuijsen, Charles']",OP1__________-WON02103289_01_segment,00:07:00,22:17:17,22:24:18,Stella Salden about the major concerns among nurses due to the corona virus,Chair of NU'91 Nursing and Care Stella Salden talked at Op1 about the many nurses who are very concerned about their safety. There are not enough face masks and protective clothing against the corona virus.,"['clothing', 'ninety-one', 'coronavirus']",2020-01-04 22:17:17,2020-01-04 22:24:18,WON02103289,1
17,17,17,2020-01-04,"['Napel, Carrie ten', 'Groenhuijsen, Charles']",OP1__________-WON02103289_02_segment,00:07:29,22:24:18,22:31:47,Joost Vullings about the corona debate in the House of Representatives,"The House of Representatives was updated on Wednesday by Jaap van Dissel (RIVM), Diederik Gommers (Vereniging Intensive Care Nederland) and Ronnie van Diemen-Steenvoorde (Inspector General of the Health and Youth Care Inspectorate). The themes of care capacity and care quality were mainly discussed. The Hague debated this and the extension of the current corona measures until April 28. Political commentator at EenVandaag Joost Vullings considered the corona debate at Op1.","['twenty-eight', 'commentator', 'care quality']",2020-01-04 22:24:18,2020-01-04 22:31:47,WON02103289,2
18,18,18,2020-01-04,"['Napel, Carrie ten', 'Groenhuijsen, Charles']",OP1__________-WON02103289_03_segment,00:07:10,22:31:47,22:38:57,Jeroen Stekelenburg about the choice of the European football associations,"The European football associations are out: the aim is to complete the professional competitions before August 3. That would mean that the ball will roll again in mid-June. NOS Studio Sport reporter Jeroen Stekelenburg talked about whether that is in a full or empty stadium, and how likely that start date is.","['probably', 'news reporter', 'stekelenburg']",2020-01-04 22:31:47,2020-01-04 22:38:57,WON02103289,3
19,19,19,2020-01-04,"['Napel, Carrie ten', 'Groenhuijsen, Charles']",OP1__________-WON02103289_04_segment,00:14:59,22:38:57,22:53:57,Minister Wouter Koolmees about the support package for companies and employees,"Minister of Social Affairs and Employment Wouter Koolmees talked at Op1 about his extensive support package for companies and their employees affected by the corona crisis. He is prepared to dig deep into the pockets for ailing entrepreneurs, but is it enough?","['enough', 'coronacrisis', 'entrepreneurs']",2020-01-04 22:38:57,2020-01-04 22:53:57,WON02103289,4
20,20,20,2020-01-04,"['Napel, Carrie ten', 'Groenhuijsen, Charles']",OP1__________-WON02103289_05_segment,00:09:43,23:03:37,23:13:21,Danny Mekić on the role of privacy in the fight against the corona virus,"Where everything and everyone is monitored in Asia and even our neighboring countries are busy with apps that keep track of who you come into contact with, we in the Netherlands seem a bit hesitant to give up our privacy to monitor the corona virus. At the same time, during this corona crisis, we are en masse at home video conferencing, ordering online and throwing (personal) data over the bar in other ways. Technology expert and lawyer Danny Mekić is a guest at Op1. Should we give up more of our privacy in the fight against the coronavirus, or should we not go after countries like China?","['online', 'technology expert', 'coronacrisis']",2020-01-04 23:03:37,2020-01-04 23:13:21,WON02103289,5
21,21,21,2021-01-04,"['Kelder, Jort', 'Sijtsma, Welmoed']",OP1__________-WON02213946_01_segment,00:35:58,22:27:50,23:03:49,"Uri Rosenthal, Sywert van Lienden, Marieke Smits and Joost Vullings on current developments in The Hague","Today Mark Rutte had an unprecedentedly tough debate with the House about the completely derailed exploration. What political future does Rutte still have? Who wants to work with whom now that no one seems to trust each other? On Thursday evening, VVD prominent Uri Rosenthal, political analyst Sywert van Lienden and parliamentary reporters Marieke Smits and Joost Vullings will join Op1 to discuss developments.","['reporters', 'marieke', 'future']",2021-01-04 22:27:50,2021-01-04 23:03:49,WON02213946,1
22,22,22,2021-01-04,"['Kelder, Jort', 'Sijtsma, Welmoed']",OP1__________-WON02213946_02_segment,00:14:59,23:03:48,23:18:47,"Ilse Warringa, Lies Visschedijk and Niek Barendsen about the new season of New Very","A new season of the satirical sketch series New Very starts on Sunday. The series talks about the pain points in society in a comical way: from corona to climate, everything is discussed. Actresses Ilse Warringa and Lies Visschedijk play together in the series and, together with the brain behind the series Niek Barendsen, are guests at Op1.","['pain points', 'society', 'season']",2021-01-04 23:03:48,2021-01-04 23:18:47,WON02213946,2
23,23,23,2022-01-04,"['Sijtsma, Welmoed', 'Kelder, Jort']",OP1__________-WON02305545_01_segment,00:17:54,22:29:52,22:47:47,"Op1 - The opening of Friday, April 1","Mitchel Viljeer, Jean Dohmen and Thomas van Groningen discuss their news of the day.","['jean', 'discuss', 'news']",2022-01-04 22:29:52,2022-01-04 22:47:47,WON02305545,1
24,24,24,2022-01-04,"['Sijtsma, Welmoed', 'Kelder, Jort']",OP1__________-WON02305545_02_segment,00:14:50,22:47:47,23:02:37,Minister Christianne van der Wal presents her plan to avert the nitrogen crisis,"When she took office, the new Minister for Nitrogen and Nature, Christianne van der Wal, promised a ""wildly attractive arrangement"" for the farmers. Today she finally presented her long-awaited plan to defuse the ongoing nitrogen crisis. Main outcome: the sooner a farmer sells his farm, the more money he or she will receive. But is it enough? The VVD minister joins Op1.","['attractive', 'minister', 'nitrogen crisis']",2022-01-04 22:47:47,2022-01-04 23:02:37,WON02305545,2
25,25,25,2022-01-04,"['Sijtsma, Welmoed', 'Kelder, Jort']",OP1__________-WON02305545_03_segment,00:09:04,23:03:00,23:12:04,Yelle Tieleman and Marjan Olfers about the involvement of professional football players in the illegal gambling company Edobet,"Several professional football players were involved in the illegal gambling company Edobet. That reports the Algemeen Dagblad. Sparta players Tom Beugelsdijk and Aaron Meijers bought shares and other football players, such as Dirk Kuyt and Jordy Clasie, transferred large amounts to the now defunct gambling site. Will they be punished? We discuss this with AD journalist Yelle Tieleman, who investigated the case, and Professor of Sport and Law Marjan Olfers in Op1.","['professor', 'shares', 'sport']",2022-01-04 23:03:00,2022-01-04 23:12:04,WON02305545,3
26,26,26,2022-01-04,"['Sijtsma, Welmoed', 'Kelder, Jort']",OP1__________-WON02305545_04_segment,00:13:13,23:12:03,23:25:16,Arjen Lubach about 'The Evening Show with Arjen Lubach',"Audience hit Arjen Lubach dominates the Dutch primetime television landscape four nights a week. But after five weeks of 'The Evening Show with Arjen Lubach', he takes a break and makes way for a week of stand-up comedy. In Op1, Arjen takes stock and we look ahead to the stand-up comedy week.","['break', 'five', 'television landscape']",2022-01-04 23:12:03,2022-01-04 23:25:16,WON02305545,4
27,27,27,2020-01-05,"['Hilbrand, Sophie', 'Logtenberg, Hugo']",OP1__________-WON02113058_01_segment,00:06:34,22:33:02,22:39:37,Pediatrician immunologist Emmeline Buddingh about the relationship between corona and Kawasaki,"The World Health Organization (WHO) is investigating whether the coronavirus causes a rare and severe inflammatory response in some children. In the past week, a few cases have become known in a number of countries. In the Netherlands, too, children with this syndrome ended up in intensive care. Pediatrician immunologist Emmeline Buddingh of the LUMC tells Op1 what we know so far about this unknown disease.","['couple of', 'inflammatory response', 'World Health Organisation']",2020-01-05 22:33:02,2020-01-05 22:39:37,WON02113058,1
28,28,28,2020-01-05,"['Hilbrand, Sophie', 'Logtenberg, Hugo']",OP1__________-WON02113058_02_segment,00:18:44,22:39:37,22:58:21,Eelco Bosch van Rostenthal updates us on Joe Biden and the corona crisis in the United States,Democratic presidential nominee Joe Biden denied assaulting a co-worker in 1993. What does this allegation do to the fight between him and Trump? America expert Eelco Bosch van Rosenthal catches up with us.,"['what', 'presidential candidate', 'one thousand, nine hundred and ninety-three']",2020-01-05 22:39:37,2020-01-05 22:58:21,WON02113058,2
29,29,29,2020-01-05,"['Hilbrand, Sophie', 'Logtenberg, Hugo']",OP1__________-WON02113058_03_segment,00:13:00,22:53:48,23:06:49,Mathematician Bert Slagter delved deeply into the figures behind the corona approach,"Mathematician Bert Slagter is an expert on 'complex systems' and therefore delved deeply into the figures behind the approach to the corona virus. Slagter lacks a clear story about the current approach of the cabinet. According to Slagter, we now have to reduce the reproduction number with an even stricter lockdown and then start testing, tracing and isolating on a large scale. He is a guest at Op1, his findings can be read here.","['approach', 'read', 'coronavirus']",2020-01-05 22:53:48,2020-01-05 23:06:49,WON02113058,3
30,30,30,2020-01-05,"['Hilbrand, Sophie', 'Logtenberg, Hugo']",OP1__________-WON02113058_04_segment,00:11:41,23:13:51,23:25:32,Jeangu Macrooy about the road he traveled to get here,"Actually, Jeangu Macrooy would now be in the middle of a theater tour. And looking forward to the first rehearsal for the Eurovision Song Contest (ESF) next week. But as you know, the virus put a stop to that. Today a beautiful version of his Eurovision song 'Grow' was released, live in front of an empty Concertgebouw. Jeangu is a guest at Op1, about the cancellation of the ESF, about performing in front of empty halls, but also about new plans and about his role in 'Europe Shine a Light', the alternative Eurovision Song Contest on May 16.","['popped up', 'gorgeous', 'concert hall']",2020-01-05 23:13:51,2020-01-05 23:25:32,WON02113058,4
31,31,31,2020-01-06,"['Dijkstra, Erik', 'Veenhoven, Willemijn']",OP1__________-WON02123548_01_segment,00:21:40,22:17:59,22:39:40,Femke Halsema responds to the heavy criticism of not stopping an anti-racism demonstration on Dam Square,"The anti-racism demonstration on Dam Square in Amsterdam attracted thousands of people. In the brand new one and a half meter society, the mayor of the capital, Femke Halsema, came in for quite a bit of criticism.","['one and a half', 'racism demonstration', 'capital city']",2020-01-06 22:17:59,2020-01-06 22:39:40,WON02123548,1
32,32,32,2020-01-06,"['Dijkstra, Erik', 'Veenhoven, Willemijn']",OP1__________-WON02123548_02_segment,00:23:31,22:39:40,23:03:11,"Remy Bonjasky, Gerda Havertong, Gerald Roethof and Laila Frank about the protest against racism","The interest was overwhelming at Dam Square, because the theme touches. Police brutality and the death of George Floyd has been gripping America for days, we discuss the protest with Gerald Roethof, Laila Frank, Gerda Havertong and Remy Bonjasky.","['george', 'interest', 'police brutality']",2020-01-06 22:39:40,2020-01-06 23:03:11,WON02123548,2
33,33,33,2020-01-06,"['Dijkstra, Erik', 'Veenhoven, Willemijn']",OP1__________-WON02123548_03_segment,00:11:36,23:03:26,23:15:03,Khalid Oubaha and Nicolette van Dam about the reopening of the catering industry,"It was finally time: The Dutch catering industry can open again. According to the rules of the RIVM, yes, but on this day everyone was allowed back on the terrace from 12 noon. Much to the delight of the catering entrepreneurs and all of us, because a drink and a snack on a terrace; a lot of people missed that. We talk about this with hospitality entrepreneur Khalid Oubaha and Nicolette van Dam, who we know as a TV presenter, but she also runs a brasserie in Amsterdam South together with her brother.","['hour', 'amsterdam', 'lines']",2020-01-06 23:03:26,2020-01-06 23:15:03,WON02123548,3
34,34,34,2020-01-06,"['Dijkstra, Erik', 'Veenhoven, Willemijn']",OP1__________-WON02123548_04_segment,00:10:07,23:15:10,23:25:18,Eppo van Nispen shows special fragments of images by Martine Bijl,"Eppo van Nispen, director Sound and Vision, discusses special image fragments from the archive of Sound and Vision in Hilversum every week. Today he does this with fragments by Martine Bijl. Last Saturday it was exactly one year ago that she passed away.","['a', 'image fragments', 'Saturday']",2020-01-06 23:15:10,2020-01-06 23:25:18,WON02123548,4
35,35,35,2021-01-06,"['Ostiana, Giovanca', 'Brink, Tijs van den']",OP1__________-WON02228859_01_segment,00:10:22,22:40:52,22:51:15,Chairman of the Security Council Hubert Bruls and catering entrepreneur Nikki Schenkeveld about watching the European Championship football on terraces,"The Security Council met again on Monday to discuss possible relaxations. The big question for many, can we watch the European Championship outside on the terrace? Outgoing minister Ferd Grapperhaus wants to review whether that is possible in mid-June. On Tuesday at Op1, chairman of the security council Hubert Bruls will discuss the possibilities with catering entrepreneur Nikki Schenkevel.","['June', 'grapper house', 'security consultation']",2021-01-06 22:40:52,2021-01-06 22:51:15,WON02228859,1
36,36,36,2021-01-06,"['Ostiana, Giovanca', 'Brink, Tijs van den']",OP1__________-WON02228859_02_segment,00:15:12,22:51:15,23:06:27,"Hans Zaaijer of the Sanquin blood bank, philosopher Marli Huijer and virologist Ab Osterhaus about the 'new normal'","More and more people have antibodies against the coronavirus because of vaccination or because they had the virus among their members. The effects of this can be seen indisputably in the current contamination figures. Doctor-microbiologist from Sanquin blood bank Hans Zaaijer tells Op1 on Tuesday whether that means that we can also look optimistically ahead to the autumn. On Tuesday evening, virologist Ab Osterhaus and philosopher Marli Huijer will also join Op1 about what the new normal should look like.","['autumn', 'Philosopher', 'blood bank']",2021-01-06 22:51:15,2021-01-06 23:06:27,WON02228859,2
37,37,37,2021-01-06,"['Ostiana, Giovanca', 'Brink, Tijs van den']",OP1__________-WON02228859_03_segment,00:12:32,23:06:48,23:19:20,Referees Danny Makkelie and Björn Kuipers will start the European Football Championship next week,"The European Football Championship starts next Friday and that is not only exciting for the selection of national coach Frank de Boer: referees Danny Makkelie and Björn Kuipers are also on the eve of a major football tournament. It is the first time that the Netherlands has sent two delegates to a country tournament. For Kuipers it is his last European Championship, while Makkelie is making his debut. On Tuesday evening at Op1, the referees will tell you all about the preparations.","['Netherlands', 'preparations', 'football tournament']",2021-01-06 23:06:48,2021-01-06 23:19:20,WON02228859,3
38,38,38,2021-01-06,"['Ostiana, Giovanca', 'Brink, Tijs van den']",OP1__________-WON02228859_04_segment,00:13:15,23:19:21,23:32:35,"Roos Schlikker, Malou Holshuijsen & Ronald Giphart about non-success stories","Roos Schlikker and Malou Holshuijsen look for stories in their podcast that you thought: this will never work out. The podcast makers talk to writer Ronald Giphart about his non-success stories, among others. On Tuesday evening at Op1, Giphart gives a tip of the veil and Schlikker and Holshuijsen take us into the world of anti-success.","['never', 'succes', 'podcastmakers']",2021-01-06 23:19:21,2021-01-06 23:32:35,WON02228859,4
39,39,39,2022-01-06,"['Groenhuijsen, Charles', 'Napel, Carrie ten']",OP1__________-WON02319908_01_segment,00:10:50,22:30:14,22:41:05,"Op1 - The opening of Wednesday, June 1","We discuss the news of the day with Thomas van Groningen, Marcella Mesker and Dick Benschop.","['met', 'marcella', 'news']",2022-01-06 22:30:14,2022-01-06 22:41:05,WON02319908,1
40,40,40,2022-01-06,"['Groenhuijsen, Charles', 'Napel, Carrie ten']",OP1__________-WON02319908_02_segment,00:14:23,22:41:04,22:55:27,Onno Eichelsheim about the Defense Memorandum,Today the cabinet presented the Defense Policy Document: the largest investment in the armed forces since the Cold War. How will Defense spend the extra billions? We discuss this in Op1 with Commander of the Armed Forces Onno Eichelsheim.,"['eichelsheim', 'Today', 'armed forces']",2022-01-06 22:41:04,2022-01-06 22:55:27,WON02319908,2
41,41,41,2022-01-06,"['Groenhuijsen, Charles', 'Napel, Carrie ten']",OP1__________-WON02319908_03_segment,00:16:30,22:56:21,23:12:52,Dick Benschop and Joost van Doesburg about the agreement between Schiphol and the trade unions,"Today, Schiphol, together with the trade unions FNV and CNV, presented an agreement to make working at the airport more attractive. For example, there will be a summer allowance of 5.25 euros gross per hour for staff. Will this solve the staff shortages and thus the chaos at Schiphol? We discuss it with Schiphol CEO Dick Benschop and FNV Schiphol campaign manager Joost van Doesburg.","['twenty-five', 'campaign manager', 'airport']",2022-01-06 22:56:21,2022-01-06 23:12:52,WON02319908,3
42,42,42,2022-01-06,"['Groenhuijsen, Charles', 'Napel, Carrie ten']",OP1__________-WON02319908_04_segment,00:11:49,23:12:51,23:24:40,Marcella Mesker and Paul Haarhuis about Rafael Nadal,"Rafael Nadal proved last night that he is still of absolute world class on the tennis court. The Spaniard, known for his weird tics, defeated his competitor Novak Djokovic in a true spectacle in the quarterfinals of Roland Garros. What makes the almost 36-year-old tennis player still such a good player? And will this be the last Grand Slam in which we will see him in action? We discuss this with tennis commentator Marcella Mesker and former top tennis player Paul Haarhuis.","['paul', 'world class', 'tenniscommentator']",2022-01-06 23:12:51,2022-01-06 23:24:40,WON02319908,4
43,43,43,2020-01-07,"['Napel, Carrie ten', 'Groenhuijsen, Charles']",OP1__________-WON02133262_01_segment,00:14:02,22:14:59,22:29:01,"Tunahan Kuzu responds to clash Azarkan (DENK) and Asscher (PvdA) about image of Turkish youth, Lamyae Aharouay saw it happen",A fierce clash during the racism debate in the House of Representatives between Farid Azarkan and Lodewijk Asscher. A clash that followed allegations by DENK that the PvdA is the cause of the negative image of Turkish youth. Party chairman of DENK Tunahan Kuzu responds to Op1. Political journalist at the NRC Lamyae Aharouay saw it happen.,"['journalist', 'negative', 'cause']",2020-01-07 22:14:59,2020-01-07 22:29:01,WON02133262,1
44,44,44,2020-01-07,"['Napel, Carrie ten', 'Groenhuijsen, Charles']",OP1__________-WON02133262_02_segment,00:11:35,22:29:00,22:40:36,"Urwin Vyent, director of the slavery institute: Racism cannot be separated from the colonial and slavery past","Tuesday was Keti Koti, the Surinamese holiday to celebrate the abolition of slavery. The Dutch celebration was canceled due to Corona, but at the National Monument to the Past of Slavery in Amsterdam, the past was discussed in a small circle. Urwin Vyent, director of the National Institute of Dutch Slavery Past and Heritage (NiNsee), talks about it at Op1.","['institute', 'amsterdam', 'past']",2020-01-07 22:29:00,2020-01-07 22:40:36,WON02133262,2
45,45,45,2020-01-07,"['Napel, Carrie ten', 'Groenhuijsen, Charles']",OP1__________-WON02133262_03_segment,00:09:29,22:40:36,22:50:05,Specialist geriatric medicine Nienke Nieuwenhuizen wants to prevent nursing homes from having to close their doors during the second corona wave,"Parent care specialist Nienke Nieuwenhuizen wants to prevent nursing homes from having to close for months without a visit in the event of a second corona wave. The lockdown caused many lonely elderly people and the nursing homes were also at the back of the queue for a long time when distributing protective equipment. Today, four parties from the elderly care sector present plans to prevent them from being overlooked again. Nieuwenhuizen is a guest at Op1.","['four', 'protective equipment', 'parent care specialist']",2020-01-07 22:40:36,2020-01-07 22:50:05,WON02133262,3
46,46,46,2020-01-07,"['Napel, Carrie ten', 'Groenhuijsen, Charles']",OP1__________-WON02133262_04_segment,00:11:55,22:51:02,23:02:58,"Jaap de Groot and Jack Plooij about Formula 1, which will restart with the Grand Prix in Austria","The Formula 1 circus of millions also came to a standstill for months due to the corona crisis. But from Sunday there will be 'gas on the shelf' again during the Grand Prix of Austria. And that is probably a relief for our own Max Verstappen. The driver in whom the love for motorsport was already instilled at an early age. At Op1, sports journalist Jaap de Groot and Formula 1 reporter at Ziggo Sport Jack Plooij talk about it.","['coronacrisis', 'max', 'sports journalist']",2020-01-07 22:51:02,2020-01-07 23:02:58,WON02133262,4
